Id,Key,Kr,En,Cn,Jp
1,TitlePlay,시작하기,Play,开始游戏,はじめる
2,TitleHouseSelect,종족선택하기,HOUSE,选择种族,種族選択
3,TitleUpgrade,업그레이드,Upgrade,升级,アップグレード
4,TitleSetting,설정,Setting,设置,設定
5,HouseSelectTitle,종족 선택,Select House,选择种族,種族選択
6,HouseChess,체스,Chess,国际象棋,チェス
7,HouseJanggi,장기,Janggi,朝鲜象棋,チャンギ
8,HouseHwatu,화투,Hwatu,花札,花札
9,HousePoker,포커,Poker,扑克,ポーカー
10,HouseMahjong,마작,Mahjong,麻将,麻雀
11,AxisPower,평균 전력,Power,平均战力,平均戦力
12,AxisVariance,분산,Var,波动,分散
13,AxisCeiling,상한,Cap,上限,上限
14,AxisLearning,학습 비용,Learn,学习成本,習得コスト
15,HouseLocked,미해금,Locked,未解锁,未解放
16,HouseSelectConfirm,이 종족으로,Choose,选择,これにする
17,HudHome,본거지,Home,本营,本拠地
18,HudYear,YEAR {0}/{1},YEAR {0}/{1},年 {0}/{1},YEAR {0}/{1}
19,HudGold,골드,Gold,金币,ゴールド
20,HudSpinCoin,스핀 코인,Spins,旋转币,スピンコイン
21,HudBet,판돈 {0} ×{1},Bet {0} ×{1},赌注 {0} ×{1},賭け金 {0} ×{1}
22,ActionBattleStart,전투 시작,Battle,开始战斗,戦闘開始
24,ActionBattleSpeed,배속 ×{0},SPD ×{0},倍速 ×{0},倍速 ×{0}
25,ReelSpin,SPIN,SPIN,SPIN,SPIN
26,HouseSlot,슬롯,Slot,老虎机,スロット
27,SettingsTitle,설정,Settings,设置,設定
28,SettingsLanguage,언어,Language,语言,言語
29,SettingsBgm,BGM 음량,BGM,BGM 音量,BGM 音量
30,SettingsSfx,효과음 음량,SFX,音效音量,効果音音量
31,SettingsFps,프레임 제한,FPS,帧率限制,フレームレート
32,SettingsFpsAdaptive,자동,Adaptive,自动,自動
33,SettingsFps30,30 FPS,30 FPS,30 FPS,30 FPS
34,SettingsFps60,60 FPS,60 FPS,60 FPS,60 FPS
35,HouseUpgradeTitle,종족 업그레이드,House Upgrades,种族升级,種族アップグレード
36,HouseUpgradeEmpty,업그레이드 노드 기획 중,Upgrade nodes are in development,升级节点规划中,アップグレードノード企画中
37,HouseUpgradeHomeHpName,본거지 보강,Stronghold HP,本部加固,本拠地補強
38,HouseUpgradeHomeHpDesc,런 시작 본거지 HP 증가,Starting stronghold HP,开局本部生命值,ラン開始時の本拠地HP
39,HouseUpgradeSpinCoinName,스핀 코인,Spins,旋转币,スピンコイン
40,HouseUpgradeSpinCoinDesc,연차당 스핀 코인 증가,Spins per year,每年旋转币,年ごとのスピンコイン
41,HouseUpgradeExtraSpinMaxName,추가 스핀 상한,+Spin Cap,追加旋转上限,追加スピン上限
